"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","1 - Deve listar todos os produtos","","2026-09-07","passed","2026-09-07","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","218","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-09-07","failed","2026-09-07","","Cadastro de usuário","",""
"","72","2 - Deve retornar todos os campos do produto","","2026-09-07","passed","2026-09-07","","CT-API-002 - Buscar Produto por ID","",""
"","6561","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-09-07","passed","2026-09-07","","Cadastro de usuário","",""
"","71","2 - Deve localizar o produto pelo nome","","2026-09-07","passed","2026-09-07","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","73","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-09-07","passed","2026-09-07","","CT-API-005 - Validar Atualização do Produto","",""
"","184","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-07","passed","2026-09-07","","Excluir Usuário (DELETE)","",""
"","179","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-07","passed","2026-09-07","","Excluir Usuário (DELETE)","",""
"","1265","2 - Deve informar que o usuário não foi encontrado","","2026-09-07","passed","2026-09-07","","CT-UI-002 - Login de usuário","",""
"","138","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-09-07","passed","2026-09-07","","Atualizar usuário com PATCH","",""
"","594","5 - Deve validar email obrigatório","","2026-09-07","passed","2026-09-07","","CT-UI-002 - Login de usuário","",""
"","67","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-09-07","passed","2026-09-07","","CT-API-002 - Buscar Produto por ID","",""
"","86","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-09-07","passed","2026-09-07","","Buscar usuário com ID inválido","",""
"","71","3 - Deve localizar um produto com _id válido","","2026-09-07","passed","2026-09-07","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","68","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-09-07","passed","2026-09-07","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","57","1 - Deve cadastrar um produto com sucesso","","2026-09-07","passed","2026-09-07","","CT-API-001 - Cadastro de Produtos","",""
"","157","CT-API-005 - Deve atualizar os dados do usuário","","2026-09-07","failed","2026-09-07","","Atualizar usuário existente","",""
"","67","1 - Deve consultar o produto atualizado","","2026-09-07","passed","2026-09-07","","CT-API-005 - Validar Atualização do Produto","",""
"","125","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-09-07","passed","2026-09-07","","CRUD Usuário - Buscar por ID","",""
"","76","CT-API-002 - Deve realizar login com sucesso","","2026-09-07","passed","2026-09-07","","Login de usuário","",""
"","57","1 - Deve confirmar que o produto foi removido com sucesso","","2026-09-07","passed","2026-09-07","","CT-API-007 - Validar Exclusão do Produto","",""
"","135","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-09-07","passed","2026-09-07","","CT-API-001 - Cadastro de Produtos","",""
"","202","CT-API-001.2 - Cadastro com campos vazios","","2026-09-07","failed","2026-09-07","","Cadastro de usuário","",""
"","77","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-09-07","passed","2026-09-07","","Validação de formato do ID","",""
"","1653","1 - Deve realizar login com sucesso","","2026-09-07","passed","2026-09-07","","CT-UI-002 - Login de usuário","",""
"","5904","1 - Deve criar um novo usuário com sucesso","","2026-09-07","passed","2026-09-07","","CT-UI-001 - Cadastro de usuário","",""
"","158","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-09-07","failed","2026-09-07","","Validar alteração do usuário","",""
"","153","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-09-07","passed","2026-09-07","","Listar usuários","",""
